                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    106,                0.69109,                0.60266,                 1.0632,                0.98398,                0.99005,                 0.9946,                0.88775,                0.47776,                 0.5879,                 0.7985,               0.006535,               0.006535,               0.006535
                    107,                0.65176,                0.56954,                  1.044,                0.99257,                0.99747,                0.99447,                0.88258,                0.46976,                0.40778,                0.79039,               0.006502,               0.006502,               0.006502
                    108,                 0.6761,                0.58133,                 1.0443,                0.97559,                0.99427,                0.99384,                0.87133,                0.52337,                0.48261,                0.81388,               0.006469,               0.006469,               0.006469
                    109,                0.66936,                 0.5845,                  1.055,                0.98767,                0.99643,                0.99472,                0.88541,                0.46907,                0.75391,                0.78918,               0.006436,               0.006436,               0.006436
                    110,                0.65044,                0.58902,                 1.0472,                0.98041,                  0.996,                 0.9945,                 0.8894,                0.46578,                0.68779,                0.77927,               0.006403,               0.006403,               0.006403
                    111,                0.66935,                0.58686,                 1.0419,                0.99503,                0.99523,                0.99495,                0.89842,                0.45668,                 0.5345,                 0.7842,                0.00637,                0.00637,                0.00637
                    112,                0.63825,                0.59657,                  1.037,                0.99578,                0.99751,                0.99495,                0.90141,                0.45938,                0.42812,                0.79421,               0.006337,               0.006337,               0.006337
                    113,                0.64044,                0.55072,                 1.0399,                0.99603,                0.99254,                0.99492,                0.89601,                0.46028,                0.42414,                0.79802,               0.006304,               0.006304,               0.006304
                    114,                0.64778,                 0.5857,                 1.0497,                0.98652,                0.99751,                0.99462,                0.88434,                0.47516,                0.36226,                0.80173,               0.006271,               0.006271,               0.006271
                    115,                0.62013,                0.55268,                  1.037,                  0.988,                0.99751,                0.99487,                0.90892,                0.45225,                 0.7446,                0.78044,               0.006238,               0.006238,               0.006238
                    116,                0.64663,                0.56208,                 1.0443,                0.99824,                 0.9801,                0.99485,                0.89568,                0.46645,                0.70553,                0.78971,               0.006205,               0.006205,               0.006205
                    117,                 0.6352,                0.56623,                 1.0249,                 0.9877,                0.99909,                 0.9946,                0.90796,                0.45854,                0.66964,                 0.7822,               0.006172,               0.006172,               0.006172
                    118,                0.64901,                0.59336,                  1.048,                0.98522,                0.99477,                0.99449,                0.90713,                0.45083,                0.67231,                0.77913,               0.006139,               0.006139,               0.006139
                    119,                0.64605,                0.58499,                 1.0475,                0.99752,                0.99983,                  0.995,                0.90574,                0.44199,                 0.3768,                0.77387,               0.006106,               0.006106,               0.006106
                    120,                0.62107,                0.53089,                 1.0438,                0.99841,                0.99751,                  0.995,                0.90035,                0.44132,                 0.5012,                0.77496,               0.006073,               0.006073,               0.006073
                    121,                0.63308,                0.57836,                 1.0437,                0.98045,                      1,                 0.9949,                0.89896,                0.44477,                0.64795,                0.77306,                0.00604,                0.00604,                0.00604
                    122,                0.63985,                0.54462,                 1.0452,                0.98278,                0.99354,                0.99431,                0.89642,                0.46002,                0.82146,                0.78355,               0.006007,               0.006007,               0.006007
                    123,                0.63058,                 0.5212,                  1.038,                0.99872,                0.99254,                  0.995,                0.91281,                0.43581,                0.39232,                0.76836,               0.005974,               0.005974,               0.005974
                    124,                0.59966,                 0.5298,                 1.0237,                0.99285,                0.99751,                  0.995,                0.89973,                0.43897,                 0.4145,                0.77168,               0.005941,               0.005941,               0.005941
                    125,                0.60648,                0.52959,                 1.0125,                0.99689,                      1,                0.99493,                0.90522,                0.44338,                0.35408,                0.77425,               0.005908,               0.005908,               0.005908
                    126,                0.59626,                0.51515,                 1.0007,                0.99939,                      1,                  0.995,                 0.9128,                0.43805,                0.37555,                0.76687,               0.005875,               0.005875,               0.005875
                    127,                0.62702,                0.51918,                   1.02,                0.99751,                0.99699,                  0.995,                0.91812,                0.41603,                0.47488,                0.75948,               0.005842,               0.005842,               0.005842
                    128,                0.61527,                0.54532,                 1.0194,                0.99878,                      1,                  0.995,                0.90555,                0.43853,                0.50521,                0.77027,               0.005809,               0.005809,               0.005809
                    129,                0.59342,                0.53674,                 1.0114,                0.98952,                      1,                0.99488,                0.91273,                0.43275,                0.35153,                 0.7804,               0.005776,               0.005776,               0.005776
                    130,                0.59588,                0.51575,                 1.0043,                0.99751,                0.99723,                  0.995,                0.90827,                0.44803,                0.34602,                0.77643,               0.005743,               0.005743,               0.005743
                    131,                0.60308,                0.52173,                 1.0356,                0.99954,                      1,                  0.995,                0.91202,                0.44309,                0.34216,                0.78243,                0.00571,                0.00571,                0.00571
                    132,                0.60607,                0.51178,                 1.0019,                0.99692,                      1,                  0.995,                0.91027,                0.42777,                0.31184,                0.77311,               0.005677,               0.005677,               0.005677
                    133,                0.59843,                0.51349,                 1.0034,                  0.996,                      1,                0.99498,                 0.9143,                0.42287,                0.36819,                0.76901,               0.005644,               0.005644,               0.005644
                    134,                0.58574,                0.50159,                0.99881,                0.99947,                0.99751,                  0.995,                0.90177,                0.42886,                0.33577,                0.76321,               0.005611,               0.005611,               0.005611
                    135,                0.60725,                0.53402,                 1.0187,                0.99926,                      1,                  0.995,                0.91362,                 0.4181,                 0.3247,                0.76552,               0.005578,               0.005578,               0.005578
                    136,                0.60734,                0.53969,                 1.0293,                0.99869,                      1,                  0.995,                0.91132,                0.42573,                0.33328,                0.76473,               0.005545,               0.005545,               0.005545
                    137,                0.56492,                0.50238,                0.99432,                0.99347,                0.99502,                0.99498,                0.91072,                0.41856,                0.45505,                 0.7658,               0.005512,               0.005512,               0.005512
                    138,                0.57025,                0.50192,                  1.009,                0.99134,                0.99751,                0.99493,                0.91848,                0.41015,                0.64715,                0.76075,               0.005479,               0.005479,               0.005479
                    139,                0.55942,                0.48707,                 0.9951,                      1,                0.99976,                  0.995,                0.91282,                0.41217,                0.44325,                0.76014,               0.005446,               0.005446,               0.005446
                    140,                0.56422,                0.48073,                 0.9905,                0.99658,                      1,                  0.995,                0.91859,                0.41917,                0.34354,                0.75439,               0.005413,               0.005413,               0.005413
                    141,                0.57307,                0.49421,                 1.0112,                0.99026,                      1,                  0.995,                0.91102,                0.44048,                0.32927,                 0.7734,                0.00538,                0.00538,                0.00538
                    142,                0.57504,                0.51044,                 1.0083,                0.99635,                      1,                0.99498,                0.91974,                0.44563,                0.36407,                0.77477,               0.005347,               0.005347,               0.005347
